,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
1586,z2312116536,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1587,z3092563476,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1588,z2167681427,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1589,z2911721571,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1590,pv-002225479888,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1591,z890182422,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1592,z2313212158,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1593,z1549140381,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1594,z1670099933,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1595,pv-001481110633,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1596,z1931403851,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1597,z2708549355,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1598,z1260022281,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1599,z1243953601,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1600,pv-001819549722,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1601,pv-001890951694,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1602,z2330806997,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1603,pv-001480406703,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1604,z1177593728,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1605,z1693576546,68,57,11,0.8382,54,14,0.7941,0.9474,68,0,1.0,1.2593,1,67,0.0147,0.0185
1606,appropriate,152,54,98,0.3553,30,122,0.1974,0.5556,152,0,1.0,5.0667,25,127,0.1645,0.8333
1607,rigidify,8,0,8,0.0,0,8,0.0,0.0,8,0,1.0,0.0,0,8,0.0,0.0
1608,exit,130,3,127,0.0231,0,130,0.0,0.0,130,0,1.0,0.0,0,130,0.0,0.0
1609,methyloxazole,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
1610,cf3,69,17,52,0.2464,9,60,0.1304,0.5294,69,0,1.0,7.6667,7,62,0.1014,0.7778
1611,ch3,21,3,18,0.1429,0,21,0.0,0.0,21,0,1.0,0.0,0,21,0.0,0.0
1612,complicate,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
1613,address,364,23,341,0.0632,17,347,0.0467,0.7391,364,0,1.0,21.4118,16,348,0.044,0.9412
1614,mpro-x0434,19,3,16,0.1579,1,18,0.0526,0.3333,19,0,1.0,19.0,0,19,0.0,0.0
1615,motive,21,0,21,0.0,0,21,0.0,0.0,21,0,1.0,0.0,0,21,0.0,0.0
1616,limited,37,5,32,0.1351,5,32,0.1351,1.0,37,0,1.0,7.4,5,32,0.1351,1.0
1617,promote,88,0,88,0.0,0,88,0.0,0.0,88,0,1.0,0.0,0,88,0.0,0.0
1618,asn,151,13,138,0.0861,9,142,0.0596,0.6923,151,0,1.0,16.7778,6,145,0.0397,0.6667
1619,lu166,255,25,230,0.098,13,242,0.051,0.52,255,0,1.0,19.6154,8,247,0.0314,0.6154
1620,ortho,67,7,60,0.1045,6,61,0.0896,0.8571,67,0,1.0,11.1667,6,61,0.0896,1.0
1621,asn189,14,0,14,0.0,0,14,0.0,0.0,14,0,1.0,0.0,0,14,0.0,0.0
1622,carboxyl,262,5,257,0.0191,4,258,0.0153,0.8,262,0,1.0,65.5,2,260,0.0076,0.5
1623,phenylgroup,14,0,14,0.0,0,14,0.0,0.0,14,0,1.0,0.0,0,14,0.0,0.0
1624,catalog,27,21,6,0.7778,21,6,0.7778,1.0,27,0,1.0,1.2857,16,11,0.5926,0.7619
1625,benefit,46,8,38,0.1739,8,38,0.1739,1.0,46,0,1.0,5.75,2,44,0.0435,0.25
1626,treatment,80,8,72,0.1,8,72,0.1,1.0,80,0,1.0,10.0,0,80,0.0,0.0
1627,beyond,10,5,5,0.5,5,5,0.5,1.0,10,0,1.0,2.0,0,10,0.0,0.0
1628,standard,30,7,23,0.2333,5,25,0.1667,0.7143,30,0,1.0,6.0,0,30,0.0,0.0
1629,nejmoa2001282,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1630,reportedly,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1631,mid-micromolar,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1632,microm,56,21,35,0.375,20,36,0.3571,0.9524,56,0,1.0,2.8,14,42,0.25,0.7
1633,f1000research,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1634,pnas,13,5,8,0.3846,5,8,0.3846,1.0,13,0,1.0,2.6,0,13,0.0,0.0
1635,2019-ncov,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1636,clarify,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1637,soaking,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1638,procedure,160,68,92,0.425,42,118,0.2625,0.6176,160,0,1.0,3.8095,12,148,0.075,0.2857
1639,knime,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1640,molport,41,16,25,0.3902,9,32,0.2195,0.5625,41,0,1.0,4.5556,0,41,0.0,0.0
1641,redundant,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1642,skelpheres,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1643,queries,16,5,11,0.3125,5,11,0.3125,1.0,16,0,1.0,3.2,0,16,0.0,0.0
1644,void,94,27,67,0.2872,20,74,0.2128,0.7407,94,0,1.0,4.7,10,84,0.1064,0.5
1645,dummy,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1646,molport-003-848-410,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1647,molport-000-883-877,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1648,molport-001-572-165,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1649,molport-000-418-325,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1650,molport-002-271-944,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1651,molport-001-959-578,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1652,molport-019-079-691,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1653,molport-001-527-709,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1654,molport-020-128-938,9,5,4,0.5556,5,4,0.5556,1.0,9,0,1.0,1.8,0,9,0.0,0.0
1655,anti-viral,39,3,36,0.0769,2,37,0.0513,0.6667,39,0,1.0,19.5,0,39,0.0,0.0
1656,hiv-1,34,3,31,0.0882,2,32,0.0588,0.6667,34,0,1.0,17.0,0,34,0.0,0.0
1657,ebola,42,3,39,0.0714,2,40,0.0476,0.6667,42,0,1.0,21.0,0,42,0.0,0.0
1658,treat,149,13,136,0.0872,12,137,0.0805,0.9231,149,0,1.0,12.4167,2,147,0.0134,0.1667
1659,herpes,32,3,29,0.0938,2,30,0.0625,0.6667,32,0,1.0,16.0,0,32,0.0,0.0
1660,data-set,16,3,13,0.1875,2,14,0.125,0.6667,16,0,1.0,8.0,0,16,0.0,0.0
1661,learn,579,71,508,0.1226,61,518,0.1054,0.8592,579,0,1.0,9.4918,44,535,0.076,0.7213
1662,diversity,228,87,141,0.3816,60,168,0.2632,0.6897,228,0,1.0,3.8,31,197,0.136,0.5167
1663,lipophilicity,2598,28,2570,0.0108,24,2574,0.0092,0.8571,2598,0,1.0,108.25,15,2583,0.0058,0.625
1664,lack,72,5,67,0.0694,4,68,0.0556,0.8,72,0,1.0,18.0,1,71,0.0139,0.25
1665,jeriek,129,3,126,0.0233,2,127,0.0155,0.6667,129,0,1.0,64.5,0,129,0.0,0.0
1666,van,474,18,456,0.038,3,471,0.0063,0.1667,474,0,1.0,158.0,1,473,0.0021,0.3333
1667,den,998,98,900,0.0982,74,924,0.0741,0.7551,998,0,1.0,13.4865,36,962,0.0361,0.4865
1668,abeele,129,3,126,0.0233,2,127,0.0155,0.6667,129,0,1.0,64.5,0,129,0.0,0.0
1669,uio,32,3,29,0.0938,2,30,0.0625,0.6667,32,0,1.0,16.0,0,32,0.0,0.0
1670,department,58,5,53,0.0862,4,54,0.069,0.8,58,0,1.0,14.5,2,56,0.0345,0.5
1671,physics,32,3,29,0.0938,2,30,0.0625,0.6667,32,0,1.0,16.0,0,32,0.0,0.0
1672,computational,301,46,255,0.1528,36,265,0.1196,0.7826,301,0,1.0,8.3611,24,277,0.0797,0.6667
1673,conserving,12,1,11,0.0833,1,11,0.0833,1.0,12,0,1.0,12.0,0,12,0.0,0.0
1674,2-aminopyridine,11,1,10,0.0909,1,10,0.0909,1.0,11,0,1.0,11.0,1,10,0.0909,1.0
1675,commonplace,6,0,6,0.0,0,6,0.0,0.0,6,0,1.0,0.0,0,6,0.0,0.0
1676,medicinal,246,43,203,0.1748,40,206,0.1626,0.9302,246,0,1.0,6.15,26,220,0.1057,0.65
1677,alter,290,74,216,0.2552,58,232,0.2,0.7838,290,0,1.0,5.0,38,252,0.131,0.6552
1678,mixture,8,1,7,0.125,1,7,0.125,1.0,8,0,1.0,8.0,1,7,0.125,1.0
1679,refinement,16,0,16,0.0,0,16,0.0,0.0,16,0,1.0,0.0,0,16,0.0,0.0
1680,biarylurea,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1681,best-looking,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1682,pyrimidine-2,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1683,-dione,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1684,smallest,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1685,annulate,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1686,phenylquinazoline-2,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1687,4-dione,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1688,paq,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1689,nakagawa,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1690,bioorganic,55,0,55,0.0,0,55,0.0,0.0,55,0,1.0,0.0,0,55,0.0,0.0
1691,7046-7054,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1692,bmc,37,9,28,0.2432,9,28,0.2432,1.0,37,0,1.0,4.1111,5,32,0.1351,0.5556
1693,di-aromatic,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1694,connection,11,1,10,0.0909,1,10,0.0909,1.0,11,0,1.0,11.0,1,10,0.0909,1.0
1695,weaker,55,3,52,0.0545,2,53,0.0364,0.6667,55,0,1.0,27.5,2,53,0.0364,1.0
1696,donor,186,26,160,0.1398,21,165,0.1129,0.8077,186,0,1.0,8.8571,21,165,0.1129,1.0
1697,6-f,63,1,62,0.0159,1,62,0.0159,1.0,63,0,1.0,63.0,1,62,0.0159,1.0
1698,tune,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1699,ample,629,27,602,0.0429,25,604,0.0397,0.9259,629,0,1.0,25.16,14,615,0.0223,0.56
1700,pyrazine,34,4,30,0.1176,1,33,0.0294,0.25,34,0,1.0,34.0,0,34,0.0,0.0
1701,resp,577,29,548,0.0503,18,559,0.0312,0.6207,577,0,1.0,32.0556,5,572,0.0087,0.2778
1702,trifurcated,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
1703,pockest,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
1704,schrodinger,28,6,22,0.2143,5,23,0.1786,0.8333,28,0,1.0,5.6,5,23,0.1786,1.0
1705,crystallographer,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
1706,background,2,0,2,0.0,0,2,0.0,0.0,2,0,1.0,0.0,0,2,0.0,0.0
1707,possibilities,32,6,26,0.1875,6,26,0.1875,1.0,32,0,1.0,5.3333,0,32,0.0,0.0
1708,flip,106,35,71,0.3302,33,73,0.3113,0.9429,106,0,1.0,3.2121,10,96,0.0943,0.303
1709,pincered,17,0,17,0.0,0,17,0.0,0.0,17,0,1.0,0.0,0,17,0.0,0.0
1710,main-chain,22,0,22,0.0,0,22,0.0,0.0,22,0,1.0,0.0,0,22,0.0,0.0
1711,phe140,75,4,71,0.0533,3,72,0.04,0.75,75,0,1.0,25.0,3,72,0.04,1.0
1712,extension,129,26,103,0.2016,11,118,0.0853,0.4231,129,0,1.0,11.7273,11,118,0.0853,1.0
1713,e189,17,0,17,0.0,0,17,0.0,0.0,17,0,1.0,0.0,0,17,0.0,0.0
1714,unexploited,17,0,17,0.0,0,17,0.0,0.0,17,0,1.0,0.0,0,17,0.0,0.0
1715,e166,82,19,63,0.2317,19,63,0.2317,1.0,82,0,1.0,4.3158,19,63,0.2317,1.0
1716,obvious,245,13,232,0.0531,12,233,0.049,0.9231,245,0,1.0,20.4167,4,241,0.0163,0.3333
1717,enhancement,24,0,24,0.0,0,24,0.0,0.0,24,0,1.0,0.0,0,24,0.0,0.0
1718,shift,39,11,28,0.2821,10,29,0.2564,0.9091,39,0,1.0,3.9,1,38,0.0256,0.1
1719,ureido,26,0,26,0.0,0,26,0.0,0.0,26,0,1.0,0.0,0,26,0.0,0.0
1720,propyl-bromide,6,0,6,0.0,0,6,0.0,0.0,6,0,1.0,0.0,0,6,0.0,0.0
1721,chemspace,33,0,33,0.0,0,33,0.0,0.0,33,0,1.0,0.0,0,33,0.0,0.0
1722,chemophore,15,0,15,0.0,0,15,0.0,0.0,15,0,1.0,0.0,0,15,0.0,0.0
1723,pharmit,30,0,30,0.0,0,30,0.0,0.0,30,0,1.0,0.0,0,30,0.0,0.0
1724,higher,155,20,135,0.129,20,135,0.129,1.0,155,0,1.0,7.75,13,142,0.0839,0.65
1725,daren,35,0,35,0.0,0,35,0.0,0.0,35,0,1.0,0.0,0,35,0.0,0.0
1726,fearon,35,0,35,0.0,0,35,0.0,0.0,35,0,1.0,0.0,0,35,0.0,0.0
1727,alex,81,0,81,0.0,0,81,0.0,0.0,81,0,1.0,0.0,0,81,0.0,0.0
1728,dias,9,0,9,0.0,0,9,0.0,0.0,9,0,1.0,0.0,0,9,0.0,0.0
1729,anthony,44,17,27,0.3864,17,27,0.3864,1.0,44,0,1.0,2.5882,17,27,0.3864,1.0
1730,aimon,49,22,27,0.449,22,27,0.449,1.0,49,0,1.0,2.2273,22,27,0.449,1.0
1731,7-indole,21,1,20,0.0476,1,20,0.0476,1.0,21,0,1.0,21.0,0,21,0.0,0.0
1732,leu27,21,1,20,0.0476,1,20,0.0476,1.0,21,0,1.0,21.0,0,21,0.0,0.0
1733,thr35,21,1,20,0.0476,1,20,0.0476,1.0,21,0,1.0,21.0,0,21,0.0,0.0
1734,3-way,10,0,10,0.0,0,10,0.0,0.0,10,0,1.0,0.0,0,10,0.0,0.0
1735,dependency,10,0,10,0.0,0,10,0.0,0.0,10,0,1.0,0.0,0,10,0.0,0.0
1736,amended,10,0,10,0.0,0,10,0.0,0.0,10,0,1.0,0.0,0,10,0.0,0.0
1737,modular,11,0,11,0.0,0,11,0.0,0.0,11,0,1.0,0.0,0,11,0.0,0.0
1738,desymmetrisation,10,0,10,0.0,0,10,0.0,0.0,10,0,1.0,0.0,0,10,0.0,0.0
1739,achiral,19,0,19,0.0,0,19,0.0,0.0,19,0,1.0,0.0,0,19,0.0,0.0
1740,diazepane,10,0,10,0.0,0,10,0.0,0.0,10,0,1.0,0.0,0,10,0.0,0.0
1741,n-functionalisation,10,0,10,0.0,0,10,0.0,0.0,10,0,1.0,0.0,0,10,0.0,0.0
1742,typical,133,26,107,0.1955,24,109,0.1805,0.9231,133,0,1.0,5.5417,3,130,0.0226,0.125
1743,yields,113,26,87,0.2301,24,89,0.2124,0.9231,113,0,1.0,4.7083,3,110,0.0265,0.125
1744,agglomerate,113,26,87,0.2301,24,89,0.2124,0.9231,113,0,1.0,4.7083,3,110,0.0265,0.125
1745,larger,340,28,312,0.0824,24,316,0.0706,0.8571,340,0,1.0,14.1667,3,337,0.0088,0.125
1746,brics,246,39,207,0.1585,32,214,0.1301,0.8205,246,0,1.0,7.6875,7,239,0.0285,0.2188
1747,lipinski,150,26,124,0.1733,24,126,0.16,0.9231,150,0,1.0,6.25,3,147,0.02,0.125
1748,classification,155,32,123,0.2065,30,125,0.1935,0.9375,155,0,1.0,5.1667,6,149,0.0387,0.2
1749,update,128,26,102,0.2031,24,104,0.1875,0.9231,128,0,1.0,5.3333,3,125,0.0234,0.125
1750,addtions,49,18,31,0.3673,17,32,0.3469,0.9444,49,0,1.0,2.8824,2,47,0.0408,0.1176
1751,geometries,109,2,107,0.0183,2,107,0.0183,1.0,109,0,1.0,54.5,2,107,0.0183,1.0
1752,adduct,36,0,36,0.0,0,36,0.0,0.0,36,0,1.0,0.0,0,36,0.0,0.0
1753,serotonin,1,1,0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,0,1,0.0,0.0
1754,methoxy,368,22,346,0.0598,15,353,0.0408,0.6818,368,0,1.0,24.5333,14,354,0.038,0.9333
1755,capture,16,1,15,0.0625,0,16,0.0,0.0,16,0,1.0,0.0,0,16,0.0,0.0
1756,apart,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1757,varied,13,1,12,0.0769,1,12,0.0769,1.0,13,0,1.0,13.0,0,13,0.0,0.0
1758,thorough,16,0,16,0.0,0,16,0.0,0.0,16,0,1.0,0.0,0,16,0.0,0.0
1759,techniques,7,0,7,0.0,0,7,0.0,0.0,7,0,1.0,0.0,0,7,0.0,0.0
1760,5-cyanopyridine,22,0,22,0.0,0,22,0.0,0.0,22,0,1.0,0.0,0,22,0.0,0.0
1761,thr45,22,0,22,0.0,0,22,0.0,0.0,22,0,1.0,0.0,0,22,0.0,0.0
1762,met145,22,0,22,0.0,0,22,0.0,0.0,22,0,1.0,0.0,0,22,0.0,0.0
1763,physicochemical,100,6,94,0.06,6,94,0.06,1.0,100,0,1.0,16.6667,0,100,0.0,0.0
1764,published,109,7,102,0.0642,6,103,0.055,0.8571,109,0,1.0,18.1667,4,105,0.0367,0.6667
1765,cited,107,61,46,0.5701,61,46,0.5701,1.0,107,0,1.0,1.7541,14,93,0.1308,0.2295
1766,ic50,569,130,439,0.2285,125,444,0.2197,0.9615,569,0,1.0,4.552,59,510,0.1037,0.472
1767,13b,34,4,30,0.1176,3,31,0.0882,0.75,34,0,1.0,11.3333,3,31,0.0882,1.0
1768,bicyclo-pentane,3,0,3,0.0,0,3,0.0,0.0,3,0,1.0,0.0,0,3,0.0,0.0
1769,para-hydroxylation,3,0,3,0.0,0,3,0.0,0.0,3,0,1.0,0.0,0,3,0.0,0.0
1770,bioavailability,113,2,111,0.0177,2,111,0.0177,1.0,113,0,1.0,56.5,2,111,0.0177,1.0
1771,decrease,27,6,21,0.2222,5,22,0.1852,0.8333,27,0,1.0,5.4,5,22,0.1852,1.0
1772,understand,57,3,54,0.0526,3,54,0.0526,1.0,57,0,1.0,19.0,3,54,0.0526,1.0
1773,efficacy,9,0,9,0.0,0,9,0.0,0.0,9,0,1.0,0.0,0,9,0.0,0.0
1774,swissadme,59,0,59,0.0,0,59,0.0,0.0,59,0,1.0,0.0,0,59,0.0,0.0
1775,α-ketoamide,7,1,6,0.1429,1,6,0.1429,1.0,7,0,1.0,7.0,1,6,0.1429,1.0
1776,sciencemag,3,0,3,0.0,0,3,0.0,0.0,3,0,1.0,0.0,0,3,0.0,0.0
1777,abb3405,19,0,19,0.0,0,19,0.0,0.0,19,0,1.0,0.0,0,19,0.0,0.0
1778,mpro-x0689,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
1779,mpro-x708,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
1780,maximal,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
1781,der,2932,451,2481,0.1538,369,2563,0.1259,0.8182,2932,0,1.0,7.9458,134,2798,0.0457,0.3631
1782,waals,1,0,1,0.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
1783,inclusion,133,3,130,0.0226,3,130,0.0226,1.0,133,0,1.0,44.3333,2,131,0.015,0.6667
1784,besides,10,1,9,0.1,1,9,0.1,1.0,10,0,1.0,10.0,0,10,0.0,0.0
1785,spiro-fussed,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
1786,closure,8,2,6,0.25,2,6,0.25,1.0,8,0,1.0,4.0,2,6,0.25,1.0
1787,5red,6,0,6,0.0,0,6,0.0,0.0,6,0,1.0,0.0,0,6,0.0,0.0
1788,becerra-rivas,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
1789,cuervo-prado,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
1790,orozco-lopez,4,0,4,0.0,0,4,0.0,0.0,4,0,1.0,0.0,0,4,0.0,0.0
1791,communications,50,0,50,0.0,0,50,0.0,0.0,50,0,1.0,0.0,0,50,0.0,0.0
1792,reliant,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1793,cyclica,66,6,60,0.0909,6,60,0.0909,1.0,66,0,1.0,11.0,0,66,0.0,0.0
1794,satisfy,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1795,objective,101,7,94,0.0693,7,94,0.0693,1.0,101,0,1.0,14.4286,1,100,0.0099,0.1429
1796,traverses,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1797,repeatedly,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1798,deriving,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1799,convergence,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1800,traversing,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1801,rule-based,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1802,semi-generative,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1803,challenge,15,6,9,0.4,6,9,0.4,1.0,15,0,1.0,2.5,0,15,0.0,0.0
1804,option,135,20,115,0.1481,16,119,0.1185,0.8,135,0,1.0,8.4375,9,126,0.0667,0.5625
1805,partners,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1806,identify,110,25,85,0.2273,22,88,0.2,0.88,110,0,1.0,5.0,7,103,0.0636,0.3182
1807,compatibility,20,8,12,0.4,8,12,0.4,1.0,20,0,1.0,2.5,0,20,0.0,0.0
1808,3clpro,61,6,55,0.0984,6,55,0.0984,1.0,61,0,1.0,10.1667,0,61,0.0,0.0
1809,matchmaker,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1810,proteome-screening,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1811,tinyurl,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1812,wx3yg64,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1813,accurate,14,6,8,0.4286,6,8,0.4286,1.0,14,0,1.0,2.3333,0,14,0.0,0.0
1814,magnitude,15,7,8,0.4667,7,8,0.4667,1.0,15,0,1.0,2.1429,1,14,0.0667,0.1429
1815,efficient,71,21,50,0.2958,19,52,0.2676,0.9048,71,0,1.0,3.7368,3,68,0.0423,0.1579
1816,ligand-based,31,16,15,0.5161,11,20,0.3548,0.6875,31,0,1.0,2.8182,5,26,0.1613,0.4545
1817,technology,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1818,arxiv,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1819,parameter-free,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1820,utilizes,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1821,predictive,33,6,27,0.1818,6,27,0.1818,1.0,33,0,1.0,5.5,0,33,0.0,0.0
1822,performance,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1823,evolve,73,6,67,0.0822,6,67,0.0822,1.0,73,0,1.0,12.1667,0,73,0.0,0.0
1824,resemble,21,7,14,0.3333,7,14,0.3333,1.0,21,0,1.0,3.0,0,21,0.0,0.0
1825,ensure,64,13,51,0.2031,13,51,0.2031,1.0,64,0,1.0,4.9231,6,58,0.0938,0.4615
1826,exclude,29,10,19,0.3448,8,21,0.2759,0.8,29,0,1.0,3.625,2,27,0.069,0.25
1827,problematic,83,8,75,0.0964,8,75,0.0964,1.0,83,0,1.0,10.375,0,83,0.0,0.0
1828,default,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
1829,proceed,36,7,29,0.1944,6,30,0.1667,0.8571,36,0,1.0,6.0,0,36,0.0,0.0
1830,automatically,65,9,56,0.1385,7,58,0.1077,0.7778,65,0,1.0,9.2857,1,64,0.0154,0.1429
1831,proteome,13,6,7,0.4615,6,7,0.4615,1.0,13,0,1.0,2.1667,0,13,0.0,0.0
