,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
624,protein,538,53.0,485.0,0.0985,39.0,499.0,0.0725,0.7358,1.0,537.0,0.0019,0.0256,39.0,499.0,0.0725,1.0
625,transformative,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
626,leap,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
627,substantial,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
628,tanimito,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
629,implementation,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
630,tanimoto,32,3.0,29.0,0.0938,3.0,29.0,0.0938,1.0,0.0,32.0,0.0,0.0,3.0,29.0,0.0938,1.0
631,fingerprint,106,23.0,83.0,0.217,23.0,83.0,0.217,1.0,0.0,106.0,0.0,0.0,23.0,83.0,0.217,1.0
632,morgan,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
633,rationale,74,20.0,54.0,0.2703,19.0,55.0,0.2568,0.95,0.0,74.0,0.0,0.0,19.0,55.0,0.2568,1.0
634,modifications,283,36.0,247.0,0.1272,28.0,255.0,0.0989,0.7778,5.0,278.0,0.0177,0.1786,28.0,255.0,0.0989,1.0
635,crystallographic,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
636,review,76,11.0,65.0,0.1447,10.0,66.0,0.1316,0.9091,0.0,76.0,0.0,0.0,10.0,66.0,0.1316,1.0
637,driven,11,1.0,10.0,0.0909,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
638,contact,64,2.0,62.0,0.0312,1.0,63.0,0.0156,0.5,0.0,64.0,0.0,0.0,1.0,63.0,0.0156,1.0
639,conformational,83,34.0,49.0,0.4096,31.0,52.0,0.3735,0.9118,5.0,78.0,0.0602,0.1613,31.0,52.0,0.3735,1.0
640,initial,275,80.0,195.0,0.2909,77.0,198.0,0.28,0.9625,9.0,266.0,0.0327,0.1169,77.0,198.0,0.28,1.0
641,ligand,537,41.0,496.0,0.0764,28.0,509.0,0.0521,0.6829,1.0,536.0,0.0019,0.0357,28.0,509.0,0.0521,1.0
642,obtained,125,22.0,103.0,0.176,15.0,110.0,0.12,0.6818,2.0,123.0,0.016,0.1333,15.0,110.0,0.12,1.0
643,refined,152,4.0,148.0,0.0263,1.0,151.0,0.0066,0.25,0.0,152.0,0.0,0.0,1.0,151.0,0.0066,1.0
644,running,13,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
645,minimization,46,2.0,44.0,0.0435,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0
646,amber,15,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0
647,tethering,11,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
648,harmonic,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
649,restraints,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
650,output,61,3.0,58.0,0.0492,3.0,58.0,0.0492,1.0,0.0,61.0,0.0,0.0,3.0,58.0,0.0492,1.0
651,thoroughly,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
652,validated,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
653,knowledge,13,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
654,bio-molecules,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
655,information,99,8.0,91.0,0.0808,8.0,91.0,0.0808,1.0,0.0,99.0,0.0,0.0,8.0,91.0,0.0808,1.0
656,chem,4833,264.0,4569.0,0.0546,212.0,4621.0,0.0439,0.803,24.0,4809.0,0.005,0.1132,212.0,4621.0,0.0439,1.0
657,inf,627,48.0,579.0,0.0766,42.0,585.0,0.067,0.875,2.0,625.0,0.0032,0.0476,42.0,585.0,0.067,1.0
658,model,634,110.0,524.0,0.1735,87.0,547.0,0.1372,0.7909,6.0,628.0,0.0095,0.069,87.0,547.0,0.1372,1.0
659,crystallography,23,2.0,21.0,0.087,2.0,21.0,0.087,1.0,0.0,23.0,0.0,0.0,2.0,21.0,0.087,1.0
660,database,274,27.0,247.0,0.0985,19.0,255.0,0.0693,0.7037,0.0,274.0,0.0,0.0,19.0,255.0,0.0693,1.0
661,appl,332,50.0,282.0,0.1506,45.0,287.0,0.1355,0.9,5.0,327.0,0.0151,0.1111,45.0,287.0,0.1355,1.0
662,cryst,4116,159.0,3957.0,0.0386,112.0,4004.0,0.0272,0.7044,19.0,4097.0,0.0046,0.1696,112.0,4004.0,0.0272,1.0
663,726-729,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
664,brief,89,17.0,72.0,0.191,14.0,75.0,0.1573,0.8235,1.0,88.0,0.0112,0.0714,14.0,75.0,0.1573,1.0
665,description,12,2.0,10.0,0.1667,2.0,10.0,0.1667,1.0,2.0,10.0,0.1667,1.0,2.0,10.0,0.1667,1.0
666,fluorination,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
667,tetrahydroquinoline,20,2.0,18.0,0.1,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
668,increase,389,55.0,334.0,0.1414,39.0,350.0,0.1003,0.7091,4.0,385.0,0.0103,0.1026,39.0,350.0,0.1003,1.0
669,occupancy,27,9.0,18.0,0.3333,8.0,19.0,0.2963,0.8889,2.0,25.0,0.0741,0.25,8.0,19.0,0.2963,1.0
670,disruption,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
671,surrounding,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
672,simulation,37,15.0,22.0,0.4054,14.0,23.0,0.3784,0.9333,1.0,36.0,0.027,0.0714,14.0,23.0,0.3784,1.0
673,methylation,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
674,adopt,18,7.0,11.0,0.3889,1.0,17.0,0.0556,0.1429,0.0,18.0,0.0,0.0,1.0,17.0,0.0556,1.0
675,equatorial,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
676,preferred,59,18.0,41.0,0.3051,12.0,47.0,0.2034,0.6667,0.0,59.0,0.0,0.0,12.0,47.0,0.2034,1.0
677,ref,400,55.0,345.0,0.1375,41.0,359.0,0.1025,0.7455,0.0,400.0,0.0,0.0,41.0,359.0,0.1025,1.0
678,impacting,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
679,favourably,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
680,enthalpic,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
681,contributions,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
682,biophys,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
683,feb,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
684,compatible,19,4.0,15.0,0.2105,3.0,16.0,0.1579,0.75,2.0,17.0,0.1053,0.6667,3.0,16.0,0.1579,1.0
685,r-cn,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
686,step-change,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
687,activities,11,1.0,10.0,0.0909,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
688,tend,182,20.0,162.0,0.1099,14.0,168.0,0.0769,0.7,0.0,182.0,0.0,0.0,14.0,168.0,0.0769,1.0
689,axial,45,9.0,36.0,0.2,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0
690,gem-dimethyl,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
691,tolerated,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
692,placed,110,13.0,97.0,0.1182,10.0,100.0,0.0909,0.7692,1.0,109.0,0.0091,0.1,10.0,100.0,0.0909,1.0
693,mildly,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
694,significant,13,2.0,11.0,0.1538,1.0,12.0,0.0769,0.5,0.0,13.0,0.0,0.0,1.0,12.0,0.0769,1.0
695,contribution,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
696,portion,30,13.0,17.0,0.4333,8.0,22.0,0.2667,0.6154,0.0,30.0,0.0,0.0,8.0,22.0,0.2667,1.0
697,tetrahydropyranyl,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
698,exposing,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
699,cyclic,192,43.0,149.0,0.224,22.0,170.0,0.1146,0.5116,0.0,192.0,0.0,0.0,22.0,170.0,0.1146,1.0
700,ether,228,38.0,190.0,0.1667,36.0,192.0,0.1579,0.9474,1.0,227.0,0.0044,0.0278,36.0,192.0,0.1579,1.0
701,tetrahydropyran,39,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0
702,interacting,3027,2.0,3025.0,0.0007,1.0,3026.0,0.0003,0.5,1.0,3026.0,0.0003,1.0,1.0,3026.0,0.0003,1.0
703,ser46,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
704,favorable,130,22.0,108.0,0.1692,22.0,108.0,0.1692,1.0,4.0,126.0,0.0308,0.1818,22.0,108.0,0.1692,1.0
705,negligible,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
706,impact,11,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
707,located,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
708,n-acyl,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
709,x0354,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
710,cyp,11,1.0,10.0,0.0909,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
711,induction,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
712,liability,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
713,sulfoximine,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
714,transformation,162,3.0,159.0,0.0185,0.0,162.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,162.0,0.0,0.0
715,applied,184,47.0,137.0,0.2554,45.0,139.0,0.2446,0.9574,5.0,179.0,0.0272,0.1111,45.0,139.0,0.2446,1.0
716,1319-1324,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
717,s-attached,9,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
718,enantiomer,40,6.0,34.0,0.15,4.0,36.0,0.1,0.6667,0.0,40.0,0.0,0.0,4.0,36.0,0.1,1.0
719,pro168,26,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0
720,having,44,12.0,32.0,0.2727,9.0,35.0,0.2045,0.75,0.0,44.0,0.0,0.0,9.0,35.0,0.2045,1.0
721,protein-ligand,137,6.0,131.0,0.0438,3.0,134.0,0.0219,0.5,1.0,136.0,0.0073,0.3333,3.0,134.0,0.0219,1.0
722,w116,10,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
723,endogenous,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
724,peak,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
725,concentrations,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
726,high-risk,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
727,covid-19,309,14.0,295.0,0.0453,11.0,298.0,0.0356,0.7857,0.0,309.0,0.0,0.0,11.0,298.0,0.0356,1.0
728,patients,26,3.0,23.0,0.1154,3.0,23.0,0.1154,1.0,0.0,26.0,0.0,0.0,3.0,23.0,0.1154,1.0
729,low-risk,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
730,metabolites,30,4.0,26.0,0.1333,2.0,28.0,0.0667,0.5,0.0,30.0,0.0,0.0,2.0,28.0,0.0667,1.0
731,ortho-position,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
732,sub,3663,360.0,3303.0,0.0983,286.0,3377.0,0.0781,0.7944,79.0,3584.0,0.0216,0.2762,286.0,3377.0,0.0781,1.0
733,x0336,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
734,alternatively,8,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
735,gln192,5,1.0,4.0,0.2,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
736,thr190,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
737,occupied,41,2.0,39.0,0.0488,1.0,40.0,0.0244,0.5,0.0,41.0,0.0,0.0,1.0,40.0,0.0244,1.0
738,sulfoxide,17,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
739,oxigen,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
740,dms901,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
741,para-position,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
742,shallow,7,2.0,5.0,0.2857,2.0,5.0,0.2857,1.0,0.0,7.0,0.0,0.0,2.0,5.0,0.2857,1.0
743,accommodate,37,2.0,35.0,0.0541,2.0,35.0,0.0541,1.0,0.0,37.0,0.0,0.0,2.0,35.0,0.0541,1.0
744,bulky,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
745,sp3,16,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
746,ideation,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
747,structurally,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
748,diverse,88,12.0,76.0,0.1364,10.0,78.0,0.1136,0.8333,0.0,88.0,0.0,0.0,10.0,78.0,0.1136,1.0
749,solubility,86,7.0,79.0,0.0814,2.0,84.0,0.0233,0.2857,1.0,85.0,0.0116,0.5,2.0,84.0,0.0233,1.0
750,membered,84,2.0,82.0,0.0238,2.0,82.0,0.0238,1.0,1.0,83.0,0.0119,0.5,2.0,82.0,0.0238,1.0
751,derived,151,40.0,111.0,0.2649,32.0,119.0,0.2119,0.8,2.0,149.0,0.0132,0.0625,32.0,119.0,0.2119,1.0
752,stripped,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
753,rigidly,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
754,assess,108,2.0,106.0,0.0185,1.0,107.0,0.0093,0.5,0.0,108.0,0.0,0.0,1.0,107.0,0.0093,1.0
755,accessory,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
756,incurring,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
757,artifacts,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
758,flavour,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
759,4-oxazepine,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
760,derivative,465,25.0,440.0,0.0538,12.0,453.0,0.0258,0.48,1.0,464.0,0.0022,0.0833,12.0,453.0,0.0258,1.0
761,n-attached,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
762,fitting,11,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
763,delimited,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
764,met165,18,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0
765,phe181,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
766,oxazepinone,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
767,almost,50,15.0,35.0,0.3,13.0,37.0,0.26,0.8667,0.0,50.0,0.0,0.0,13.0,37.0,0.26,1.0
768,coplanar,9,3.0,6.0,0.3333,3.0,6.0,0.3333,1.0,0.0,9.0,0.0,0.0,3.0,6.0,0.3333,1.0
769,mild,11,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
770,oxazepinones,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
771,challenging,179,0.0,179.0,0.0,0.0,179.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,179.0,0.0,0.0
772,synthesize,269,12.0,257.0,0.0446,5.0,264.0,0.0186,0.4167,0.0,269.0,0.0,0.0,5.0,264.0,0.0186,1.0
773,unwanted,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
774,complexity,126,3.0,123.0,0.0238,0.0,126.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,126.0,0.0,0.0
775,compound,2719,464.0,2255.0,0.1707,357.0,2362.0,0.1313,0.7694,41.0,2678.0,0.0151,0.1148,357.0,2362.0,0.1313,1.0
776,acyl,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
777,w39,4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
778,synthesizing,5,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
779,preliminary,15,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0
780,striking,8,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
781,sbd,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
782,inspiration,52,10.0,42.0,0.1923,3.0,49.0,0.0577,0.3,2.0,50.0,0.0385,0.6667,3.0,49.0,0.0577,1.0
783,x_0770,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
784,3-step,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
785,commercially,1322,12.0,1310.0,0.0091,5.0,1317.0,0.0038,0.4167,2.0,1320.0,0.0015,0.4,5.0,1317.0,0.0038,1.0
786,boc-protected,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
787,piperazines,33,14.0,19.0,0.4242,6.0,27.0,0.1818,0.4286,3.0,30.0,0.0909,0.5,6.0,27.0,0.1818,1.0
788,nucleophilic,43,27.0,16.0,0.6279,11.0,32.0,0.2558,0.4074,2.0,41.0,0.0465,0.1818,11.0,32.0,0.2558,1.0
789,bromomethyl,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
790,-3-chlorobenzene,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
791,deprotection,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
792,amidation,12,6.0,6.0,0.5,3.0,9.0,0.25,0.5,2.0,10.0,0.1667,0.6667,3.0,9.0,0.25,1.0
793,2-chloroacetyl,10,4.0,6.0,0.4,3.0,7.0,0.3,0.75,2.0,8.0,0.2,0.6667,3.0,7.0,0.3,1.0
794,constrained,211,52.0,159.0,0.2464,49.0,162.0,0.2322,0.9423,6.0,205.0,0.0284,0.1224,49.0,162.0,0.2322,1.0
795,chose,392,50.0,342.0,0.1276,31.0,361.0,0.0791,0.62,3.0,389.0,0.0077,0.0968,31.0,361.0,0.0791,1.0
796,predict,2073,60.0,2013.0,0.0289,54.0,2019.0,0.026,0.9,8.0,2065.0,0.0039,0.1481,54.0,2019.0,0.026,1.0
797,reduced,61,7.0,54.0,0.1148,3.0,58.0,0.0492,0.4286,2.0,59.0,0.0328,0.6667,3.0,58.0,0.0492,1.0
798,electrophile,51,31.0,20.0,0.6078,30.0,21.0,0.5882,0.9677,2.0,49.0,0.0392,0.0667,30.0,21.0,0.5882,1.0
799,reactivity,702,27.0,675.0,0.0385,26.0,676.0,0.037,0.963,6.0,696.0,0.0085,0.2308,26.0,676.0,0.037,1.0
800,email,141,10.0,131.0,0.0709,6.0,135.0,0.0426,0.6,3.0,138.0,0.0213,0.5,6.0,135.0,0.0426,1.0
801,uric,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
802,uracil,3,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
803,malonamides,7,5.0,2.0,0.7143,4.0,3.0,0.5714,0.8,0.0,7.0,0.0,0.0,4.0,3.0,0.5714,1.0
804,ther,1742,221.0,1521.0,0.1269,156.0,1586.0,0.0896,0.7059,23.0,1719.0,0.0132,0.1474,155.0,1587.0,0.089,0.9936
805,ability,339,36.0,303.0,0.1062,29.0,310.0,0.0855,0.8056,1.0,338.0,0.0029,0.0345,29.0,310.0,0.0855,1.0
806,valid,36,6.0,30.0,0.1667,5.0,31.0,0.1389,0.8333,0.0,36.0,0.0,0.0,5.0,31.0,0.1389,1.0
807,peptidomimetic,18,8.0,10.0,0.4444,6.0,12.0,0.3333,0.75,0.0,18.0,0.0,0.0,6.0,12.0,0.3333,1.0
808,simulate,12,6.0,6.0,0.5,5.0,7.0,0.4167,0.8333,0.0,12.0,0.0,0.0,5.0,7.0,0.4167,1.0
809,secondary,11,5.0,6.0,0.4545,4.0,7.0,0.3636,0.8,0.0,11.0,0.0,0.0,4.0,7.0,0.3636,1.0
810,substrate,80,5.0,75.0,0.0625,4.0,76.0,0.05,0.8,0.0,80.0,0.0,0.0,4.0,76.0,0.05,1.0
811,chloromethyl,606,5.0,601.0,0.0083,4.0,602.0,0.0066,0.8,0.0,606.0,0.0,0.0,4.0,602.0,0.0066,1.0
812,pcm-012781,3,2.0,1.0,0.6667,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0
813,pcm-0102972,3,2.0,1.0,0.6667,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0
814,clcc,3,2.0,1.0,0.6667,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0
815,n1ccc,105,4.0,101.0,0.0381,3.0,102.0,0.0286,0.75,2.0,103.0,0.019,0.6667,3.0,102.0,0.0286,1.0
816,cc1,288,10.0,278.0,0.0347,9.0,279.0,0.0312,0.9,2.0,286.0,0.0069,0.2222,9.0,279.0,0.0312,1.0
817,n2ccccc2,3,2.0,1.0,0.6667,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0
818,pcm-0102974,3,2.0,1.0,0.6667,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0,2.0,1.0,0.6667,1.0
819,c1ccn,14,2.0,12.0,0.1429,2.0,12.0,0.1429,1.0,2.0,12.0,0.1429,1.0,2.0,12.0,0.1429,1.0
