,N submissions (early wave),N made (early wave),N assayed (early wave),N crystallised (early wave),Mdn shipment date (early wave),Mdn N words (early wave),Gmean IC50 (early wave),Min IC50 (early wave),made-over-submitted % (early wave),crystal-over-made % (early wave),N IC50 ≤ 50 µM (early wave),N IC50 ≤ 20 µM (early wave),N IC50 ≤ 1 µM (early wave),N IC50 ≤ 0.1 µM (early wave),sub50-over-assayed % (early wave)
Mike Lemke,2,0,0,0,,53,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ornella Di Pietro,2,0,0,0,,104,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Laura Posada,2,0,0,0,,1,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Focco Vandenakker,2,0,0,0,,79,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Denis Burton,2,0,0,0,,146,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Rhys Edwards,2,0,0,0,,32,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Max McDaniel College,2,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Abby Gallagher,2,0,0,0,,278,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Alena Villanueva,2,0,0,0,,29,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Cung Nier,2,0,0,0,,132,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kaylee Holliger,2,0,0,0,,234,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
AMDG U,2,0,0,0,,68,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Nathan Gray,2,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Zachary Kiick,2,0,0,0,,37,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Willard Haunfelder,2,0,0,0,,83,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mackenzie Meyer,2,0,0,0,,63,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kendall Hanak,2,0,0,0,,62,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mher Matevosyan,1,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mateo Gil Vizcaíno,1,0,0,0,,20,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Tanush Goel,1,0,0,0,,41,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mike Waring,1,0,0,0,,36,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Matt PostEra,1,0,0,0,,9,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Vlad UCB,1,0,0,0,,10,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ritabrata Maiti,1,0,0,0,,41,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark UCB,1,0,0,0,,8,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Shreyas Srinivasan,1,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ken Lewtas,1,0,0,0,,250,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Prashant Kharkar,1,0,0,0,,93,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Ameya Bendre,1,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Amedeo Caflisch,1,0,0,0,,7,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mike Renier,1,0,0,0,,153,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mark Honey,1,0,0,0,,28,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Albert Antolin,1,0,0,0,,187,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hans Pfalzgraf,1,0,0,0,,62,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Christian Gampe,1,0,0,0,,206,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Andrew Hutchin,1,0,0,0,,113,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Mallareddy Komandla,1,0,0,0,,27,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Chellam Gayathri Subash,1,0,0,0,,83,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Sam Rowe,1,0,0,0,,38,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
HengKeat Tam,1,0,0,0,,2,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jim Palmer,1,0,0,0,,167,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Gabriel Navarrete Vazquez,1,0,0,0,,72,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Javier University of Alcalá,1,0,0,0,,79,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Naasson Mbenza Mbambi,1,0,0,0,,42,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Hira Khalid,1,0,0,0,,55,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Catarina Esteves,1,0,0,0,,227,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Neal Hayhurst,1,0,0,0,,98,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jame Cole,1,0,0,0,,12,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Adrian Accurso,1,0,0,0,,57,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
vitamin biology,1,0,0,0,,14,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Justin Smith,1,0,0,0,,303,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Suni Nier,1,0,0,0,,67,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Kaleb Wood,1,0,0,0,,16,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Belal AlNajjar,1,0,0,0,,31,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Atul Mahajan,1,0,0,0,,19,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jeffrey Richards,1,0,0,0,,17,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Simone Bigi,1,0,0,0,,227,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Redwan SATEC,1,0,0,0,,44,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Jokin Carillo Arregui,1,0,0,0,,8,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
Bowen Tang,1,0,0,0,,15,,,0±0%,nan±nan%,0,0,0,0,nan±nan%
